id,area_name,population2015,population2010,household2015,household2010
1000,北海道,5381733,5506419,2444810,2424317
2000,青森県,1308265,1373339,510945,513385
3000,岩手県,1279594,1330147,493049,483934
4000,宮城県,2333899,2348165,944720,901862
5000,秋田県,1023119,1085997,388560,390136
6000,山形県,1123891,1168924,393396,388608
7000,福島県,1914039,2029064,737598,720794
8000,茨城県,2916976,2969770,1124349,1088411
9000,栃木県,1974255,2007683,763097,745604
10000,群馬県,1973115,2008068,773952,755756
11000,埼玉県,7266534,7194556,2971659,2841595
12000,千葉県,6222666,6216289,2609132,2515904
13000,東京都,13515271,13159417,6701122,6393781
14000,神奈川県,9126214,9048302,3979278,3844512
15000,新潟県,2304264,2374450,848150,839039
16000,富山県,1066328,1093247,391171,383439
17000,石川県,1154008,1169788,453368,441170
18000,福井県,786740,806314,279687,275599
19000,山梨県,834930,863075,330976,327721
20000,長野県,2098804,2152449,807108,794461
21000,岐阜県,2031903,2080773,753212,737151
22000,静岡県,3700305,3765007,1429600,1399140
23000,愛知県,7483128,7410719,3063833,2933802
24000,三重県,1815865,1854724,720292,704607
25000,滋賀県,1412916,1410777,537550,517748
26000,京都府,2610353,2636092,1152902,1122057
27000,大阪府,8839469,8865245,3923887,3832386
28000,兵庫県,5534800,5588133,2315200,2255318
29000,奈良県,1364316,1400728,530221,523523
30000,和歌山県,963579,1002198,392332,393553
31000,鳥取県,573441,588667,216894,211964
32000,島根県,694352,717397,265008,262219
33000,岡山県,1921525,1945276,772977,754511
34000,広島県,2843990,2860750,1211425,1184967
35000,山口県,1404729,1451338,598834,597432
36000,徳島県,755733,785491,305754,302294
37000,香川県,976263,995842,398551,390474
38000,愛媛県,1385262,1431493,591972,590888
39000,高知県,728276,764456,319011,321909
40000,福岡県,5101556,5071968,2201037,2110468
41000,佐賀県,832832,849788,302109,295038
42000,長崎県,1377187,1426779,560720,558660
43000,熊本県,1786170,1817426,704730,688234
44000,大分県,1166338,1196529,486535,482051
45000,宮崎県,1104069,1135233,462858,460505
46000,鹿児島県,1648177,1706242,724690,729386
47000,沖縄県,1433566,1392818,560424,520191